Summary Statistic	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	CP1.gtr.rates.rateAC	CP1.gtr.rates.rateAG	CP1.gtr.rates.rateAT	CP1.gtr.rates.rateCG	CP1.gtr.rates.rateCT	CP1.gtr.rates.rateGT	CP2.gtr.rates.rateAC	CP2.gtr.rates.rateAG	CP2.gtr.rates.rateAT	CP2.gtr.rates.rateCG	CP2.gtr.rates.rateCT	CP2.gtr.rates.rateGT	CP3.gtr.rates.rateAC	CP3.gtr.rates.rateAG	CP3.gtr.rates.rateAT	CP3.gtr.rates.rateCG	CP3.gtr.rates.rateCT	CP3.gtr.rates.rateGT	CP1.alpha	CP2.alpha	CP3.alpha	CP1.pInv	CP2.pInv	CP3.pInv	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
mean	-65958.9456	-1362.964	-64595.9817	237.8328	1786.1672	3736.8442	1.173	3.5058	5.3945	6.6221	7.6097	7.0358	6.0081	6.1176	6.3776	6.2225	6.1777	5.5204	5.41	5.5473	5.5263	5.345	5.2349	5.2414	5.2968	5.3754	5.4987	5.6516	5.7794	5.847	5.8432	5.7882	5.7483	5.7784	5.8791	6.009	6.1156	6.1699	6.1475	6.0355	5.8254	5.5052	5.0766	4.5692	4.0238	3.5257	3.1385	2.8872	2.7398	2.6633	2.6327	2.6143	2.6098	2.61	2.608	2.6101	2.6096	300	0.2941	1.0286	0.1193	0.2171	4.2596	0.0814	0.2262	1.7218	0.2318	0.094	3.5811	0.1452	0.2043	1.4736	0.1889	0.0864	3.9776	0.0691	0.1382	0.1996	0.8805	0.9762	0.9179	0.9664	0.1805	0.2485	0.5709	0.5414	0.7457	1.7131	4.1687E-3	23.1971	6.7394E-4	0.4408	0.1953	-64595.9817	0	-1653.2484
stderr of mean	0.8412	1.0523	0.2375	0.5297	0.5297	10.8501	3.7634E-3	3.5752E-3	1.6629E-3	2.0196E-3	5.0511E-3	0.0219	4.843E-3	3.4014E-3	9.2512E-3	4.6943E-3	0.0155	0.0144	5.0739E-3	3.9693E-3	6.8823E-3	7.6243E-3	5.3703E-3	5.8032E-3	6.6997E-3	7.0982E-3	7.2788E-3	6.9025E-3	6.2723E-3	7.2879E-3	8.5196E-3	8.5634E-3	6.798E-3	5.555E-3	6.3318E-3	6.4679E-3	6.3369E-3	7.5391E-3	0.0112	0.0165	0.025	0.0337	0.0421	0.0479	0.0487	0.0438	0.0339	0.0242	0.0148	0.0102	8.3534E-3	8.855E-3	9.3254E-3	9.7778E-3	0.0102	0.0106	0.0109	0	2.8622E-4	9.0237E-4	1.2836E-4	2.9991E-4	1.2384E-3	1.2072E-4	1.9864E-4	7.3684E-4	1.2317E-4	1.5759E-4	8.5591E-4	1.2287E-4	1.2587E-4	5.6014E-4	7.9805E-5	9.5236E-5	6.4583E-4	5.8101E-5	2.2617E-5	5.3349E-5	2.5287E-4	7.7707E-5	3.4143E-4	1.5013E-4	2.7845E-5	3.5639E-5	4.3924E-5	8.351E-5	1.0693E-4	1.3179E-4	1.6151E-5	0.062	1.9604E-6	5.074E-4	6.7289E-4	0.2375	0	1.0372
stdev	27.6564	26.8097	18.5789	13.1148	13.1148	182.0275	0.5673	0.112	0.1605	0.2539	0.449	0.5584	0.3207	0.4036	0.5372	0.5118	0.6255	0.587	0.5759	0.6462	0.701	0.7364	0.7654	0.8246	0.8975	0.972	1.0507	1.1118	1.1603	1.2024	1.232	1.2535	1.2692	1.301	1.3587	1.4118	1.4542	1.4848	1.5083	1.5324	1.5624	1.6198	1.6985	1.7765	1.8237	1.8515	1.9037	2.0163	2.1833	2.3751	2.5769	2.7774	2.9642	3.1401	3.3073	3.4687	3.6214	0	0.0391	0.0801	0.0163	0.0395	0.1023	0.0153	0.028	0.0658	0.0169	0.0224	0.0735	0.0163	0.0175	0.0452	0.0103	0.0132	0.0506	7.4156E-3	6.2516E-3	0.0111	0.0545	0.0234	0.0761	0.0338	7.045E-3	7.669E-3	9.4955E-3	0.0211	0.023	0.0285	5.4159E-4	3.3086	3.6442E-5	0.0262	0.0426	18.5789	0	19.1357
variance	764.8767	718.7602	345.174	171.9992	171.9992	33134.0017	0.3218	0.0126	0.0258	0.0645	0.2016	0.3118	0.1029	0.1629	0.2886	0.262	0.3912	0.3446	0.3316	0.4176	0.4914	0.5423	0.5859	0.6799	0.8055	0.9449	1.1039	1.2362	1.3464	1.4457	1.5179	1.5714	1.6108	1.6927	1.846	1.9932	2.1146	2.2047	2.2751	2.3482	2.441	2.6237	2.8848	3.1559	3.3258	3.4279	3.6242	4.0653	4.7669	5.641	6.6402	7.7141	8.7866	9.8603	10.9382	12.0319	13.1143	0	1.5319E-3	6.4235E-3	2.6635E-4	1.5623E-3	0.0105	2.3488E-4	7.8263E-4	4.3338E-3	2.8395E-4	5.0137E-4	5.3988E-3	2.646E-4	3.077E-4	2.039E-3	1.0575E-4	1.7546E-4	2.5625E-3	5.4991E-5	3.9083E-5	1.2423E-4	2.9666E-3	5.4871E-4	5.7922E-3	1.1405E-3	4.9632E-5	5.8813E-5	9.0164E-5	4.4642E-4	5.2947E-4	8.1172E-4	2.9332E-7	10.9468	1.3281E-9	6.8667E-4	1.8108E-3	345.174	0	366.1764
median	-65958.4286	-1362.8319	-64595.707	237.3918	1786.6082	3740.0222	1.0693	3.504	5.3899	6.6093	7.5689	6.9876	5.9875	6.0853	6.3317	6.184	6.1445	5.4651	5.3696	5.4971	5.4783	5.2969	5.1852	5.1866	5.2367	5.3066	5.4154	5.5592	5.6758	5.7403	5.738	5.6839	5.6432	5.6656	5.756	5.8687	5.9674	6.0137	5.9855	5.8747	5.679	5.3926	5.0063	4.5365	4.0099	3.5304	3.1684	2.9372	2.798	2.7286	2.7006	2.6916	2.6774	2.6837	2.6834	2.695	2.6895	0	0.2925	1.0258	0.1187	0.2152	4.2611	0.0805	0.2255	1.7219	0.2314	0.0922	3.5807	0.1447	0.2039	1.4733	0.1888	0.0859	3.9778	0.0688	0.138	0.1994	0.8788	0.9833	0.9402	0.9767	0.1804	0.2485	0.571	0.541	0.7456	1.7133	4.1353E-3	22.9676	6.7209E-4	0.4387	0.1949	-64595.707	0	-1653.0117
value range	[-66088.7069, -65845.4256]	[-1483.5967, -1245.7406]	[-64688.1123, -64517.0309]	[190.0455, 295.641]	[1728.359, 1833.9545]	[3085.7055, 4515.1383]	[0.0804, 6.4004]	[2.9705, 4.051]	[4.7885, 6.2049]	[5.616, 8.0949]	[6.1634, 11.3576]	[5.2292, 11.158]	[4.8623, 8.5881]	[4.7268, 9.377]	[4.6423, 11.2737]	[4.3568, 11.0628]	[3.8991, 10.7716]	[3.6229, 10.2338]	[3.2077, 10.8821]	[3.3378, 10.6309]	[2.7332, 11.5844]	[2.8115, 13.0799]	[2.472, 12.5706]	[2.3457, 11.6603]	[1.677, 12.1588]	[1.9143, 12.4884]	[2.0842, 13.2941]	[1.824, 14.7811]	[2.0388, 15.3262]	[1.4202, 17.8532]	[1.6797, 17.7185]	[1.7004, 16.4227]	[1.5379, 15.289]	[1.0808, 18.656]	[1.5528, 19.7782]	[1.7711, 18.9]	[1.4838, 19.9096]	[1.6605, 17.785]	[-0.578, 18.8996]	[-1.2856, 20.1172]	[-1.3102, 22.198]	[-3.0232, 18.485]	[-4.1253, 19.3733]	[-6.5735, 18.7297]	[-7.4215, 18.732]	[-8.3715, 15.6523]	[-11.1495, 16.0191]	[-14.7207, 15.2148]	[-16.163, 16.0628]	[-17.5221, 16.7206]	[-19.3416, 17.5172]	[-20.2418, 20.2494]	[-23.2123, 19.9971]	[-24.5975, 23.3641]	[-25.816, 27.3397]	[-24.237, 26.0983]	[-24.3177, 28.2646]	[300, 300]	[0.1504, 0.4844]	[0.7249, 1.5074]	[0.0598, 0.2082]	[0.0906, 0.4511]	[3.8141, 4.685]	[0.0286, 0.1604]	[0.1208, 0.3508]	[1.4598, 2.0258]	[0.1654, 0.3229]	[0.0276, 0.2285]	[3.288, 3.8944]	[0.0841, 0.2258]	[0.1394, 0.2873]	[1.2942, 1.6573]	[0.1434, 0.2337]	[0.0418, 0.1606]	[3.7832, 4.1671]	[0.0429, 0.1054]	[0.1143, 0.1754]	[0.1479, 0.258]	[0.6255, 1.1427]	[0.7377, 1]	[0.2271, 1]	[0.6137, 1]	[0.1497, 0.2165]	[0.2182, 0.2847]	[0.5226, 0.6183]	[0.4491, 0.6493]	[0.6546, 0.8543]	[1.5682, 1.8552]	[2.4137E-3, 6.9245E-3]	[11.4448, 40.8708]	[5.404E-4, 8.5271E-4]	[0.3546, 0.6301]	[0.0177, 0.3782]	[-64688.1123, -64517.0309]	[0, 0]	[-1732.4397, -1555.8475]
geometric mean	n/a	n/a	n/a	237.4728	1786.119	3732.4027	1.0465	3.504	5.3922	6.6173	7.5967	7.0141	5.9996	6.1046	6.3556	6.2019	6.1464	5.49	5.38	5.5105	5.4826	5.295	5.1798	5.1775	5.2218	5.2889	5.4006	5.545	5.6662	5.7266	5.7162	5.6549	5.6105	5.6347	5.7259	5.8484	5.9488	5.9979	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.2915	1.0255	0.1182	0.2134	4.2583	0.08	0.2245	1.7205	0.2312	0.0913	3.5803	0.1443	0.2036	1.4729	0.1886	0.0854	3.9773	0.0687	0.138	0.1993	0.8788	0.9759	0.9144	0.9658	0.1804	0.2484	0.5709	0.541	0.7454	1.7128	4.1339E-3	22.9645	6.7296E-4	0.44	0.1904	n/a	n/a	n/a
95% HPD interval	[-66013.4379, -65905.2599]	[-1415.642, -1311.1287]	[-64632.1854, -64559.448]	[213.5287, 264.9721]	[1759.0279, 1810.4713]	[3384.2853, 4087.9836]	[0.2754, 2.3069]	[3.2897, 3.728]	[5.081, 5.7112]	[6.1435, 7.1331]	[6.79, 8.5133]	[6.0173, 8.1242]	[5.4023, 6.6461]	[5.3611, 6.9194]	[5.3824, 7.4507]	[5.273, 7.2541]	[4.9795, 7.424]	[4.4476, 6.7064]	[4.3223, 6.5567]	[4.3435, 6.8464]	[4.1893, 6.9171]	[3.9652, 6.8275]	[3.7892, 6.759]	[3.6908, 6.8984]	[3.6122, 7.1006]	[3.527, 7.2956]	[3.5483, 7.6214]	[3.583, 7.8766]	[3.617, 8.0978]	[3.6263, 8.2576]	[3.5355, 8.2925]	[3.4724, 8.3305]	[3.3966, 8.3061]	[3.3602, 8.3818]	[3.381, 8.6132]	[3.424, 8.8409]	[3.4546, 9.0214]	[3.5, 9.178]	[3.4225, 9.1825]	[3.2368, 9.0854]	[2.8921, 8.9356]	[2.4269, 8.8199]	[1.7344, 8.5325]	[1.0121, 8.1151]	[0.4678, 7.7164]	[-0.1859, 7.1805]	[-0.6501, 6.9555]	[-1.2871, 6.783]	[-1.772, 7.0031]	[-2.1273, 7.4086]	[-2.5382, 7.8023]	[-2.9963, 8.1254]	[-3.3991, 8.4352]	[-3.8211, 8.7219]	[-4.0478, 9.1573]	[-4.4143, 9.4291]	[-4.6797, 9.7512]	n/a	[0.2176, 0.3702]	[0.8784, 1.1918]	[0.0872, 0.1506]	[0.1419, 0.2955]	[4.06, 4.4577]	[0.0517, 0.1113]	[0.1732, 0.2824]	[1.5978, 1.8559]	[0.1992, 0.2653]	[0.0519, 0.1386]	[3.439, 3.7256]	[0.1137, 0.177]	[0.1703, 0.2393]	[1.3872, 1.5644]	[0.1692, 0.2094]	[0.0612, 0.1124]	[3.8799, 4.0781]	[0.0548, 0.084]	[0.1261, 0.1506]	[0.1779, 0.2216]	[0.773, 0.9861]	[0.9296, 1]	[0.7645, 1]	[0.8993, 1]	[0.1669, 0.1944]	[0.2337, 0.2637]	[0.5523, 0.5895]	[0.5005, 0.5831]	[0.7011, 0.7912]	[1.6572, 1.7686]	[3.1418E-3, 5.2575E-3]	[17.0457, 29.8571]	[6.0367E-4, 7.4569E-4]	[0.3923, 0.4933]	[0.1126, 0.2788]	[-64632.1854, -64559.448]	n/a	[-1690.529, -1615.8479]
auto-correlation time (ACT)	2.0818E5	3.4667E5	36760.5633	3.6709E5	3.6709E5	7.9943E5	9903.021	2.2911E5	24152.5764	14238.0928	28477.2061	3.4622E5	51302.6562	15981.0847	66724.7399	18926.9401	1.3768E5	1.3593E5	17466.8782	8488.2578	21687.486	24119.5461	11075.1529	11144.1486	12537.9214	11997.9709	10799.0329	8672.1218	6574.4571	8266.5443	10759.1032	10500.1605	6455.1767	4101.8777	4886.6584	4722.4549	4272.7458	5800.7385	12510.4421	26157.8513	57592.3948	97480.1437	1.3823E5	1.6349E5	1.6054E5	1.2608E5	71554.4758	32312.9037	10384.5314	4128.1837	2364.4309	2287.0742	2226.885	2181.6346	2149.8246	2098.635	2030.533	n/a	12032.5816	28521.9236	13917.676	12954.2186	32995.5039	13960.8125	11344.0407	28187.9479	12020.8457	11145.0841	30531.8133	12838.3397	11585.3758	34622.1584	13551.2242	11630.9104	36623.6516	13812.2416	2944.9314	5155.0852	4849.823	2476.0791	4528.2886	4446.5881	3514.9132	4859.1355	4814.5997	3514.9132	4859.1355	4814.5997	2.001E5	78936.9059	6.5115E5	84359.1913	56260.0317	36760.5633	n/a	6.6097E5
effective sample size (ESS)	1080.8	649	6120.7	612.9	612.9	281.5	22720.4	982.1	9315.8	15802.7	7901.1	649.9	4385.8	14079.2	3372.1	11887.9	1634.3	1655.3	12881.6	26507.3	10374.7	9328.6	20315.8	20190.1	17945.6	18753.3	20835.3	25945.3	34223.5	27218.3	20912.6	21428.3	34855.9	54853.2	46043.9	47644.9	52659.6	38788.3	17985.1	8601.7	3906.8	2308.2	1627.7	1376.3	1401.5	1784.6	3144.5	6963.2	21666.9	54503.6	95160.7	98379.4	101038.4	103134.1	104660.2	107213	110808.8	n/a	18699.3	7888.7	16166.6	17368.9	6819.1	16116.6	19834.3	7982.2	18717.6	20188.4	7369.4	17525.7	19421.1	6498.8	16603.7	19345.1	6143.6	16290	76402.8	43646.4	46393.7	90869.9	49687.9	50600.8	64013.2	46304.7	46733.1	64013.2	46304.7	46733.1	1124.4	2850.4	345.5	2667.2	3999.3	6120.7	n/a	340.4
