DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,Era (Historical vs Contemporary)
COLOR,#000000
STRIP_WIDTH,25
MARGIN,5
SHOW_INTERNAL,0
DATA
'HQ437707.1 | Collection Date: 2007.0',#4c72b0,Historical
'KC182587.1 | Collection Date: 2009.0',#4c72b0,Historical
'KC182590.1 | Collection Date: 2009.0',#4c72b0,Historical
'KC182589.1 | Collection Date: 2009.0',#4c72b0,Historical
'ON524415.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON496631.1 | Collection Date: 2019.0',#dd8452,Contemporary
'MN062164.1 | Collection Date: 2017.0',#4c72b0,Historical
'MN062165.1 | Collection Date: 2018.0',#dd8452,Contemporary
'ON661550.1 | Collection Date: 2019.0',#dd8452,Contemporary
'MN062166.1 | Collection Date: 2018.0',#dd8452,Contemporary
'ON524422.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524443.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524535.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON524534.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON661552.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON661553.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON661551.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON524458.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524459.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524473.1 | Collection Date: 2020.0',#dd8452,Contemporary
'ON496632.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524424.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524421.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524428.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524419.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524416.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524417.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524420.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524519.1 | Collection Date: 2020.0',#dd8452,Contemporary
'ON524522.1 | Collection Date: 2020.0',#dd8452,Contemporary
'PP661696.1 | Collection Date: 2023.0',#dd8452,Contemporary
'ON524439.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PP661694.1 | Collection Date: 2018.0',#dd8452,Contemporary
'PP661699.1 | Collection Date: 2017.0',#4c72b0,Historical
'OK625565.1 | Collection Date: 2016.0',#4c72b0,Historical
'MG049743.1 | Collection Date: 2017.0',#4c72b0,Historical
'ON524427.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524435.1 | Collection Date: 2019.0',#dd8452,Contemporary
'KC182588.1 | Collection Date: 2009.0',#4c72b0,Historical
'LC049342.1 | Collection Date: 2012.0',#4c72b0,Historical
'LC049339.1 | Collection Date: 2006.0',#4c72b0,Historical
'LC049337.1 | Collection Date: 2012.0',#4c72b0,Historical
'KP177965.1 | Collection Date: 2007.0',#4c72b0,Historical
'ON911720.1 | Collection Date: 2016.0',#4c72b0,Historical
'ON911719.1 | Collection Date: 2006.0',#4c72b0,Historical
'LC049338.1 | Collection Date: 2009.0',#4c72b0,Historical
'KP177964.1 | Collection Date: 2007.0',#4c72b0,Historical
'ON911722.1 | Collection Date: 2006.0',#4c72b0,Historical
'MW405347.1 | Collection Date: 2002.0',#4c72b0,Historical
'AB618531.1 | Collection Date: 1999.0',#4c72b0,Historical
'AB618529.1 | Collection Date: 2010.0',#4c72b0,Historical
'AB973401.1 | Collection Date: 2010.0',#4c72b0,Historical
'AB793726.1 | Collection Date: 2012.0',#4c72b0,Historical
'AB793725.1 | Collection Date: 2012.0',#4c72b0,Historical
'AB839692.1 | Collection Date: 2003.0',#4c72b0,Historical
'AB839694.1 | Collection Date: 2007.0',#4c72b0,Historical
'AB839696.1 | Collection Date: 2007.0',#4c72b0,Historical
'AB839697.1 | Collection Date: 2007.0',#4c72b0,Historical
'AB839693.1 | Collection Date: 2007.0',#4c72b0,Historical
'AB819869.1 | Collection Date: 2011.0',#4c72b0,Historical
'AB839695.1 | Collection Date: 2007.0',#4c72b0,Historical
'LC049341.1 | Collection Date: 2012.0',#4c72b0,Historical
'LC435032.1 | Collection Date: 2018.0',#dd8452,Contemporary
'LC416594.1 | Collection Date: 2018.0',#dd8452,Contemporary
'LC435031.1 | Collection Date: 2018.0',#dd8452,Contemporary
'LC416595.1 | Collection Date: 2018.0',#dd8452,Contemporary
'LC416593.1 | Collection Date: 2018.0',#dd8452,Contemporary
'LC049340.1 | Collection Date: 2010.0',#4c72b0,Historical
'OM291915.1 | Collection Date: 2020.0',#dd8452,Contemporary
'OM291914.1 | Collection Date: 2020.0',#dd8452,Contemporary
'PP389042.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PP389041.1 | Collection Date: 2019.0',#dd8452,Contemporary
'OM291918.1 | Collection Date: 2020.0',#dd8452,Contemporary
'MW405348.1 | Collection Date: 2004.0',#4c72b0,Historical
'ON911721.1 | Collection Date: 2014.0',#4c72b0,Historical
'PP389037.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PP389040.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PP389036.1 | Collection Date: 2019.0',#dd8452,Contemporary
'OM291916.1 | Collection Date: 2020.0',#dd8452,Contemporary
'OM291917.1 | Collection Date: 2020.0',#dd8452,Contemporary
'OM291913.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PP389039.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PP389044.1 | Collection Date: 2019.0',#dd8452,Contemporary
'LC373510.1 | Collection Date: 2014.0',#4c72b0,Historical
'LC035020.1 | Collection Date: 2014.0',#4c72b0,Historical
'AB969748.1 | Collection Date: 2014.0',#4c72b0,Historical
'MW405349.1 | Collection Date: 2014.0',#4c72b0,Historical
'LC191189.1 | Collection Date: 2015.0',#4c72b0,Historical
'AB819870.1 | Collection Date: 2012.0',#4c72b0,Historical
'PQ009000.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PQ008999.1 | Collection Date: 2019.0',#dd8452,Contemporary
'MW405346.1 | Collection Date: 1998.0',#4c72b0,Historical
'OR606576.2 | Collection Date: 2023.0',#dd8452,Contemporary
'PQ496830.1 | Collection Date: 2024.0',#dd8452,Contemporary
'AB909123.1 | Collection Date: 2011.0',#4c72b0,Historical
'MN832786.1 | Collection Date: 2018.0',#dd8452,Contemporary
'PP661697.1 | Collection Date: 2018.0',#dd8452,Contemporary
'ON524425.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PP661695.1 | Collection Date: 2019.0',#dd8452,Contemporary
'PP661698.1 | Collection Date: 2021.0',#dd8452,Contemporary
'HM769724.1 | Collection Date: 2006.0',#4c72b0,Historical
'ON524431.1 | Collection Date: 2019.0',#dd8452,Contemporary
'KJ427799.1 | Collection Date: 2013.0',#4c72b0,Historical
'KF773842.1 | Collection Date: 2013.0',#4c72b0,Historical
'OQ077995.1 | Collection Date: 2012.0',#4c72b0,Historical
'MH685714.1 | Collection Date: 2013.0',#4c72b0,Historical
'OQ077984.1 | Collection Date: 2012.0',#4c72b0,Historical
'OQ077985.1 | Collection Date: 2012.0',#4c72b0,Historical
'OQ077996.1 | Collection Date: 2012.0',#4c72b0,Historical
'KY003229.1 | Collection Date: 2011.0',#4c72b0,Historical
'ON524430.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524460.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON661559.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON661558.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON661555.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON524470.1 | Collection Date: 2020.0',#dd8452,Contemporary
'ON524491.1 | Collection Date: 2020.0',#dd8452,Contemporary
'ON524532.1 | Collection Date: 2021.0',#dd8452,Contemporary
'ON524506.1 | Collection Date: 2020.0',#dd8452,Contemporary
'ON524512.1 | Collection Date: 2020.0',#dd8452,Contemporary
'ON524499.1 | Collection Date: 2020.0',#dd8452,Contemporary
'ON524483.1 | Collection Date: 2020.0',#dd8452,Contemporary
'ON524455.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524429.1 | Collection Date: 2019.0',#dd8452,Contemporary
'ON524433.1 | Collection Date: 2019.0',#dd8452,Contemporary
