Accession,Divergence_Subs_Per_Site,Era
KP177965_1,0.17773,Historical
LC049337_1,0.17987,Historical
ON911720_1,0.18056,Historical
ON911719_1,0.17616,Historical
KP177964_1,0.17507,Historical
LC049338_1,0.17732,Historical
LC049339_1,0.17742,Historical
ON911722_1,0.17796,Historical
MW405347_1,0.17616,Historical
LC049342_1,0.17642,Historical
AB793726_1,0.17957,Historical
AB793725_1,0.17942,Historical
AB973401_1,0.17981,Historical
AB618529_1,0.17702,Historical
AB618531_1,0.17113,Historical
AB839697_1,0.17534,Historical
AB839696_1,0.17599,Historical
AB839693_1,0.17804,Historical
AB819869_1,0.1804,Historical
AB839695_1,0.17864,Historical
AB839694_1,0.1775,Historical
AB839692_1,0.17423,Historical
LC435031_1,0.17729,Contemporary
LC416594_1,0.17713,Contemporary
LC416595_1,0.17713,Contemporary
LC416593_1,0.17713,Contemporary
LC435032_1,0.1779,Contemporary
LC049341_1,0.17507,Historical
AB909123_1,0.17021,Historical
PQ496830_1,0.1785,Contemporary
OR606576_2,0.1758,Contemporary
KC182587_1,0.19582,Historical
KC182589_1,0.19613,Historical
ON524415_1,0.19619,Contemporary
ON496631_1,0.1965,Contemporary
MN062164_1,0.19525,Historical
MN062165_1,0.19469,Contemporary
KC182588_1,0.19375,Historical
PP661699_1,0.19521,Historical
OK625565_1,0.19795,Historical
MG049743_1,0.19641,Historical
PP661694_1,0.19635,Contemporary
ON524439_1,0.19434,Contemporary
ON524427_1,0.19557,Contemporary
PP661696_1,0.1958,Contemporary
ON524522_1,0.19477,Contemporary
ON524519_1,0.19497,Contemporary
ON661553_1,0.20022,Contemporary
ON661551_1,0.20053,Contemporary
ON524535_1,0.19991,Contemporary
ON524534_1,0.20006,Contemporary
ON661552_1,0.19975,Contemporary
ON524458_1,0.19892,Contemporary
ON524459_1,0.19876,Contemporary
ON524443_1,0.19876,Contemporary
ON524473_1,0.19922,Contemporary
ON524422_1,0.19812,Contemporary
MN062166_1,0.19809,Contemporary
ON524428_1,0.19715,Contemporary
ON524421_1,0.19715,Contemporary
ON496632_1,0.19715,Contemporary
ON524424_1,0.197,Contemporary
ON524419_1,0.19639,Contemporary
ON524417_1,0.19639,Contemporary
ON524416_1,0.19639,Contemporary
ON524420_1,0.19738,Contemporary
ON661550_1,0.19504,Contemporary
ON524435_1,0.19588,Contemporary
HQ437707_1,0.18576,Historical
KJ427799_1,0.19792,Historical
KF773842_1,0.19838,Historical
MN832786_1,0.19386,Contemporary
PP661698_1,0.19149,Contemporary
HM769724_1,0.1872,Historical
PP661697_1,0.18663,Contemporary
PP661695_1,0.18369,Contemporary
ON524425_1,0.18594,Contemporary
ON524431_1,0.18605,Contemporary
LC049340_1,0.15458,Historical
MW405346_1,0.14123,Historical
PP389042_1,0.13573,Contemporary
PP389041_1,0.13607,Contemporary
OM291918_1,0.14135,Contemporary
OM291915_1,0.1384,Contemporary
OM291914_1,0.13786,Contemporary
MW405348_1,0.14307,Historical
ON911721_1,0.12785,Historical
LC035020_1,0.12252,Historical
AB969748_1,0.12267,Historical
LC373510_1,0.12267,Historical
MW405349_1,0.12623,Historical
AB819870_1,0.1216,Historical
LC191189_1,0.12313,Historical
PP389044_1,0.12098,Contemporary
PP389040_1,0.11909,Contemporary
PP389036_1,0.11969,Contemporary
PP389037_1,0.11893,Contemporary
OM291917_1,0.12179,Contemporary
OM291916_1,0.12146,Contemporary
OM291913_1,0.12033,Contemporary
PP389039_1,0.11709,Contemporary
PQ008999_1,0.10664,Contemporary
PQ009000_1,0.06869,Contemporary
AB973400_1,0.71781,Historical
OR606575_1,0.7132,Contemporary
AB425339_1,0.69545,Historical
LC515202_1,0.38382,Historical
LC515200_1,0.38172,Historical
LC515199_1,0.38234,Historical
LC515198_1,0.38241,Historical
LC515196_1,0.38149,Historical
MH933766_1,0.39546,Historical
LC515197_1,0.38022,Historical
MH933768_1,0.373,Historical
MH933767_1,0.37327,Historical
MN746032_1,0.06842,Contemporary
MN746031_1,0.07046,Contemporary
KX228694_1,0.06111,Historical
OR477202_1,0.06111,Contemporary
OR477188_1,0.06127,Contemporary
OR477198_1,0.06174,Contemporary
OR477197_1,0.06205,Contemporary
OR477195_1,0.06174,Contemporary
OR477194_1,0.06158,Contemporary
OR477196_1,0.06159,Contemporary
OR477190_1,0.06143,Contemporary
OR477193_1,0.06159,Contemporary
OR477200_1,0.06206,Contemporary
OR477199_1,0.06159,Contemporary
OQ161772_2,0.06378,Contemporary
MN832785_1,0.06383,Contemporary
ON661557_1,0.06707,Contemporary
ON661556_1,0.06707,Contemporary
ON524533_1,0.0666,Contemporary
ON524526_1,0.06691,Contemporary
ON524516_1,0.0669,Contemporary
ON524515_1,0.06644,Contemporary
ON524468_1,0.06659,Contemporary
ON524520_1,0.06629,Contemporary
ON524524_1,0.06644,Contemporary
ON524529_1,0.06644,Contemporary
ON524478_1,0.06613,Contemporary
ON661554_1,0.06644,Contemporary
ON524530_1,0.06645,Contemporary
ON524528_1,0.06784,Contemporary
ON524518_1,0.06815,Contemporary
ON524482_1,0.06722,Contemporary
ON524444_1,0.06722,Contemporary
ON524492_1,0.06676,Contemporary
ON524496_1,0.06645,Contemporary
ON524446_1,0.06691,Contemporary
ON524498_1,0.06676,Contemporary
ON524510_1,0.06675,Contemporary
ON524501_1,0.06659,Contemporary
ON524497_1,0.0669,Contemporary
ON524450_1,0.06613,Contemporary
ON524500_1,0.0669,Contemporary
ON524474_1,0.0669,Contemporary
ON524469_1,0.06628,Contemporary
ON524467_1,0.06644,Contemporary
ON524494_1,0.06659,Contemporary
ON524445_1,0.06643,Contemporary
ON524438_1,0.06674,Contemporary
ON524449_1,0.06643,Contemporary
ON524440_1,0.06674,Contemporary
ON524423_1,0.06613,Contemporary
ON524484_1,0.06613,Contemporary
ON524471_1,0.06598,Contemporary
ON524451_1,0.06644,Contemporary
ON524457_1,0.06594,Contemporary
ON524507_1,0.06579,Contemporary
ON524448_1,0.06657,Contemporary
ON524509_1,0.0656,Contemporary
ON524502_1,0.06541,Contemporary
ON524503_1,0.06568,Contemporary
ON524514_1,0.06553,Contemporary
ON524465_1,0.06522,Contemporary
ON524462_1,0.06553,Contemporary
ON524517_1,0.06677,Contemporary
ON524442_1,0.06614,Contemporary
ON524464_1,0.06615,Contemporary
ON524436_1,0.06739,Contemporary
MH577312_1,0.06691,Historical
MH577311_1,0.06691,Contemporary
MH577308_1,0.06706,Historical
MH577310_1,0.06691,Historical
MH577309_1,0.06706,Historical
ON524432_1,0.06552,Contemporary
ON524531_1,0.06857,Contemporary
ON496633_1,0.06495,Contemporary
ON661559_1,0.06485,Contemporary
ON661558_1,0.06496,Contemporary
ON661555_1,0.0648,Contemporary
ON524532_1,0.06463,Contemporary
ON524521_1,0.06448,Contemporary
ON524481_1,0.06556,Contemporary
ON524477_1,0.06494,Contemporary
ON524461_1,0.06448,Contemporary
ON524452_1,0.06463,Contemporary
ON524463_1,0.06464,Contemporary
ON524475_1,0.06433,Contemporary
ON524488_1,0.06448,Contemporary
ON524441_1,0.06433,Contemporary
ON524476_1,0.06448,Contemporary
ON524456_1,0.06448,Contemporary
ON524491_1,0.06448,Contemporary
ON524483_1,0.06587,Contemporary
ON524470_1,0.06463,Contemporary
ON524455_1,0.06463,Contemporary
ON524487_1,0.06448,Contemporary
ON524489_1,0.06463,Contemporary
ON524433_1,0.06448,Contemporary
ON524429_1,0.06448,Contemporary
ON524512_1,0.06478,Contemporary
ON524504_1,0.06463,Contemporary
ON524506_1,0.06478,Contemporary
ON524499_1,0.06509,Contemporary
ON524508_1,0.06463,Contemporary
ON524493_1,0.06448,Contemporary
ON524472_1,0.06433,Contemporary
ON524466_1,0.06464,Contemporary
ON524480_1,0.06448,Contemporary
ON524479_1,0.06448,Contemporary
ON524453_1,0.06463,Contemporary
ON524460_1,0.06387,Contemporary
ON524430_1,0.0638,Contemporary
ON524434_1,0.06341,Contemporary
ON524437_1,0.06326,Contemporary
MH577314_1,0.06357,Contemporary
MH577313_1,0.0631,Historical
ON524426_1,0.06295,Contemporary
MF621614_1,0.06632,Historical
OQ077996_1,0.06014,Historical
OQ077985_1,0.06088,Historical
OQ077984_1,0.06242,Historical
MH685714_1,0.06337,Historical
OQ077995_1,0.0592,Historical
KY003229_1,0.05813,Historical
LC515201_1,0.06401,Historical
OR031237_1,0.06488,Contemporary
OQ791466_1,0.06167,Contemporary
PP860039_1,0.06628,Contemporary
LC128713_1,0.0827,Historical
KF569906_1,0.00578,Historical
KX523680_1,0.00473,Historical
KX035096_1,0.00553,Historical
PQ009001_1,0.02236,Contemporary
MT181522_1,0.00603,Contemporary
KF724023_1,0.00948,Historical
KF724019_1,0.0096,Historical
