DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,% C>T (APOBEC)
COLOR,#D73027
WIDTH,250
MARGIN,10
SHOW_INTERNAL,0
ALIGN_TO_LABELS,1
DATA
'HQ437707.1 | Collection Date: 2007.0',25.12
'KC182587.1 | Collection Date: 2009.0',25.42
'KC182590.1 | Collection Date: 2009.0',25.42
'KC182589.1 | Collection Date: 2009.0',25.33
'ON524415.1 | Collection Date: 2019.0',26.02
'ON496631.1 | Collection Date: 2019.0',25.66
'MN062164.1 | Collection Date: 2017.0',26.02
'MN062165.1 | Collection Date: 2018.0',26.56
'ON661550.1 | Collection Date: 2019.0',24.92
'MN062166.1 | Collection Date: 2018.0',25.0
'ON524422.1 | Collection Date: 2019.0',25.08
'ON524443.1 | Collection Date: 2019.0',25.12
'ON524535.1 | Collection Date: 2021.0',25.16
'ON524534.1 | Collection Date: 2021.0',25.16
'ON661552.1 | Collection Date: 2021.0',25.12
'ON661553.1 | Collection Date: 2021.0',25.29
'ON661551.1 | Collection Date: 2021.0',25.29
'ON524458.1 | Collection Date: 2019.0',25.08
'ON524459.1 | Collection Date: 2019.0',25.04
'ON524473.1 | Collection Date: 2020.0',25.12
'ON496632.1 | Collection Date: 2019.0',24.84
'ON524424.1 | Collection Date: 2019.0',24.8
'ON524421.1 | Collection Date: 2019.0',24.76
'ON524428.1 | Collection Date: 2019.0',24.76
'ON524419.1 | Collection Date: 2019.0',24.88
'ON524416.1 | Collection Date: 2019.0',24.88
'ON524417.1 | Collection Date: 2019.0',24.88
'ON524420.1 | Collection Date: 2019.0',25.29
'ON524519.1 | Collection Date: 2020.0',24.55
'ON524522.1 | Collection Date: 2020.0',24.67
'PP661696.1 | Collection Date: 2023.0',24.67
'ON524439.1 | Collection Date: 2019.0',23.97
'PP661694.1 | Collection Date: 2018.0',24.4
'PP661699.1 | Collection Date: 2017.0',24.35
'OK625565.1 | Collection Date: 2016.0',23.76
'MG049743.1 | Collection Date: 2017.0',24.24
'ON524427.1 | Collection Date: 2019.0',25.2
'ON524435.1 | Collection Date: 2019.0',25.41
'KC182588.1 | Collection Date: 2009.0',25.0
'LC049342.1 | Collection Date: 2012.0',25.24
'LC049339.1 | Collection Date: 2006.0',24.48
'LC049337.1 | Collection Date: 2012.0',23.78
'KP177965.1 | Collection Date: 2007.0',23.65
'ON911720.1 | Collection Date: 2016.0',23.93
'ON911719.1 | Collection Date: 2006.0',23.6
'LC049338.1 | Collection Date: 2009.0',24.16
'KP177964.1 | Collection Date: 2007.0',24.37
'ON911722.1 | Collection Date: 2006.0',23.53
'MW405347.1 | Collection Date: 2002.0',24.38
'AB618531.1 | Collection Date: 1999.0',25.82
'AB618529.1 | Collection Date: 2010.0',24.96
'AB973401.1 | Collection Date: 2010.0',24.72
'AB793726.1 | Collection Date: 2012.0',25.49
'AB793725.1 | Collection Date: 2012.0',25.53
'AB839692.1 | Collection Date: 2003.0',24.55
'AB839694.1 | Collection Date: 2007.0',24.34
'AB839696.1 | Collection Date: 2007.0',23.82
'AB839697.1 | Collection Date: 2007.0',24.88
'AB839693.1 | Collection Date: 2007.0',24.43
'AB819869.1 | Collection Date: 2011.0',23.95
'AB839695.1 | Collection Date: 2007.0',23.39
'LC049341.1 | Collection Date: 2012.0',24.35
'LC435032.1 | Collection Date: 2018.0',24.67
'LC416594.1 | Collection Date: 2018.0',24.3
'LC435031.1 | Collection Date: 2018.0',24.34
'LC416595.1 | Collection Date: 2018.0',24.3
'LC416593.1 | Collection Date: 2018.0',24.34
'LC049340.1 | Collection Date: 2010.0',26.23
'OM291915.1 | Collection Date: 2020.0',23.46
'OM291914.1 | Collection Date: 2020.0',23.28
'PP389042.1 | Collection Date: 2019.0',24.12
'PP389041.1 | Collection Date: 2019.0',23.9
'OM291918.1 | Collection Date: 2020.0',22.96
'MW405348.1 | Collection Date: 2004.0',23.68
'ON911721.1 | Collection Date: 2014.0',24.14
'PP389037.1 | Collection Date: 2019.0',22.95
'PP389040.1 | Collection Date: 2019.0',22.92
'PP389036.1 | Collection Date: 2019.0',22.91
'OM291916.1 | Collection Date: 2020.0',23.42
'OM291917.1 | Collection Date: 2020.0',23.09
'OM291913.1 | Collection Date: 2019.0',23.0
'PP389039.1 | Collection Date: 2019.0',23.26
'PP389044.1 | Collection Date: 2019.0',23.37
'LC373510.1 | Collection Date: 2014.0',23.75
'LC035020.1 | Collection Date: 2014.0',23.79
'AB969748.1 | Collection Date: 2014.0',23.75
'MW405349.1 | Collection Date: 2014.0',23.08
'LC191189.1 | Collection Date: 2015.0',23.39
'AB819870.1 | Collection Date: 2012.0',23.59
'PQ009000.1 | Collection Date: 2019.0',23.61
'PQ008999.1 | Collection Date: 2019.0',22.68
'MW405346.1 | Collection Date: 1998.0',25.21
'OR606576.2 | Collection Date: 2023.0',25.53
'PQ496830.1 | Collection Date: 2024.0',25.32
'AB909123.1 | Collection Date: 2011.0',24.75
'MN832786.1 | Collection Date: 2018.0',26.08
'PP661697.1 | Collection Date: 2018.0',24.91
'ON524425.1 | Collection Date: 2019.0',25.17
'PP661695.1 | Collection Date: 2019.0',25.38
'PP661698.1 | Collection Date: 2021.0',25.42
'HM769724.1 | Collection Date: 2006.0',25.13
'ON524431.1 | Collection Date: 2019.0',25.71
'KJ427799.1 | Collection Date: 2013.0',25.84
'KF773842.1 | Collection Date: 2013.0',25.72
'OQ077995.1 | Collection Date: 2012.0',28.72
'MH685714.1 | Collection Date: 2013.0',29.55
'OQ077984.1 | Collection Date: 2012.0',27.04
'OQ077985.1 | Collection Date: 2012.0',30.56
'OQ077996.1 | Collection Date: 2012.0',27.15
'KY003229.1 | Collection Date: 2011.0',26.16
'ON524430.1 | Collection Date: 2019.0',27.54
'ON524460.1 | Collection Date: 2019.0',26.95
